bucket,zone,year,journal,first_author,n_authors,cited,type,doi,title
A,二区(电磁专业),2022,Computer Methods in Applied Mechanics and Engineering,Manuel A. Sánchez,5,12,article,10.1016/j.cma.2022.114969,Symplectic Hamiltonian finite element methods for electromagnetics
A,二区(电磁专业),2021,International Journal for Numerical Methods in Engineering,Hrvoje Dodig,3,14,article,10.1002/nme.6675,On the edge element boundary element method/finite element method coupling for time harmonic electromagnetic scattering problems
A,二区(电磁专业),2017,Journal of Computational Physics,Reza Abedi,2,12,article,10.1016/j.jcp.2017.09.001,An asynchronous spacetime discontinuous Galerkin finite element method for time domain electromagnetics
A,二区(电磁专业),2024,International Journal for Numerical Methods in Engineering,Shuqi Liu,4,3,article,10.1002/nme.7559,A mixed finite element spatial discretization scheme and a higher‐order accurate temporal discretization scheme for a strongly discontinuous electromagnetic interface condition in ideal sliding electrical contact problems
A,二区(电磁专业),2016,Journal of Computational Physics,Elisa Maria Bittencourt Dutra de Sousa,2,21,article,10.1016/j.jcp.2016.08.044,A blended continuous–discontinuous finite element method for solving the multi-fluid plasma model
A,二区(电磁专业),2015,Engineering Analysis with Boundary Elements,Mario Cvetković,3,34,article,10.1016/j.enganabound.2015.11.002,The electromagnetic-thermal dosimetry for the homogeneous human brain model
A,二区(电磁专业),2015,Journal of Computational Physics,Emre Kılıç,2,19,article,10.1016/j.jcp.2015.02.004,Solution of 3D inverse scattering problems by combined inverse equivalent current and finite element methods
A,二区(电磁专业),2016,Computer Methods in Applied Mechanics and Engineering,Reza Yaghmaie,3,19,article,10.1016/j.cma.2016.01.016,Wavelet transformation induced multi-time scaling (WATMUS) model for coupled transient electro-magnetic and structural dynamics finite element analysis
A,二区(电磁专业),2020,Computer Methods in Applied Mechanics and Engineering,Satoshi Noguchi,3,14,article,10.1016/j.cma.2020.113295,Proposal of finite element analysis method for dielectric breakdown based on Maxwell’s equations
A,二区(电磁专业),2019,Computer Methods in Applied Mechanics and Engineering,Daniel García,3,23,article,10.1016/j.cma.2019.06.011,Refined isogeometric analysis for fluid mechanics and electromagnetics
A,二区(电磁专业),2019,International Journal for Numerical Methods in Engineering,Shinnosuke Nishi,5,26,article,10.1002/nme.6263,Isogeometric topology optimization of anisotropic metamaterials for controlling high‐frequency electromagnetic wave
A,二区(电磁专业),2016,Finite Elements in Analysis and Design,Frédéric Druesne,4,20,article,10.1016/j.finel.2016.09.004,Modal stability procedure applied to variability in vibration from electromagnetic origin for an electric motor
A,二区(电磁专业),2017,Finite Elements in Analysis and Design,Alfredo Bermúdez,4,18,article,10.1016/j.finel.2016.11.005,Electromagnetic computations with Preisach hysteresis model
A,二区(电磁专业),2025,Engineering Analysis with Boundary Elements,Jibing Shen,6,8,article,10.1016/j.enganabound.2025.106549,Isogeometric boundary element analysis of sensitivity in TE-polarized electromagnetic scattering from dielectric bodies
