pii,pages,title_guess,doi_line
S0021999115000650,19,Contents lists available at ScienceDirect,http://dx.doi.org/10.1016/j.jcp.2015.02.004
S0021999115000698,14,Contents lists available at ScienceDirect,http://dx.doi.org/10.1016/j.jcp.2015.02.008
S0021999116302960,23,Contents lists available at ScienceDirect,http://dx.doi.org/10.1016/j.jcp.2016.07.015
S0021999116304016,20,Contents lists available at ScienceDirect,http://dx.doi.org/10.1016/j.jcp.2016.08.044
S0021999117303224,18,Contents lists available at ScienceDirect,http://dx.doi.org/10.1016/j.jcp.2017.04.043
S0021999117306514,24,Contents lists available at ScienceDirect,http://dx.doi.org/10.1016/j.jcp.2017.09.001
S0021999119301597,15,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2019.02.042
S0021999120307634,16,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2020.109989
S0021999121004289,20,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2021.110533
S002199912100807X,28,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2021.110912
S0021999122007963,22,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2022.111733
S0021999124000731,24,Contentslistsavailableat ScienceDirect,https://doi.org/10.1016/j.jcp.2024.112824
S002199912400528X,31,Contentslistsavailableat ScienceDirect,https://doi.org/10.1016/j.jcp.2024.113280
S0021999125005339,19,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2025.114250
S002199912600121X,23,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2026.114771
S0021999126006108,23,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.jcp.2026.115260
S0021999126006868,18,A triangular-prism mesh FDTD scheme for,https://doi.org/10.1016/j.jcp.2026.115337
S0045782515003783,20,Efficient computation of dispersion curves for multilayered,http://dx.doi.org/10.1016/j.cma.2015.11.019
S0045782516300093,33,Wavelet transformation induced multi-time scaling (W ATMUS),http://dx.doi.org/10.1016/j.cma.2016.01.016
S0045782516319417,20,optimization of microchannel cooling networks,http://dx.doi.org/10.1016/j.cma.2017.05.024
S0045782519301549,19,An a priori error estimate for a temporally discontinuous Galerkin,https://doi.org/10.1016/j.cma.2019.03.025
S0045782519303548,31,Refined isogeometric analysis for fluid mechanics and,https://doi.org/10.1016/j.cma.2019.06.011
S0045782520304801,15,Proposal of finite element analysis method for dielectric breakdown,https://doi.org/10.1016/j.cma.2020.113295
S0045782521003546,19,Improving convergence by optimizing the condition number of the,https://doi.org/10.1016/j.cma.2021.114023
S004578252200072X,16,Moment method based distributed multipoles for modeling magnetic,https://doi.org/10.1016/j.cma.2022.114692
S0168874X16301901,15,Simulation of multi-frequency-induction-hardening including phase,http://dx.doi.org/10.1016/j.ﬁnel.2016.07 .012
S0168874X16302256,10,Contents lists available at ScienceDirect,http://dx.doi.org/10.1016/j.ﬁnel.2016.11.005
S0168874X16303092,14,Modal stability procedure applied to variability in vibration,http://dx.doi.org/10.1016/j.ﬁnel.2016.09.004
S0168874X17305279,12,Reaction-diffusion equation based topology optimization combined with the,https://doi.org/10.1016/j.ﬁnel.2017.11.009
S0168874X17307564,15,Contentslistsavailableat ScienceDirect,https://doi.org/10.1016/j.ﬁnel.2018.03.002
S0168874X21000470,19,Multiphysics simulation of phase ﬁeld interface development and,https://doi.org/10.1016/j.ﬁnel.2021.103563
S0168874X2200066X,12,microwave assisted pultrusion processes,https://doi.org/10.1016/j.finel.2022.103792
S0955799715002258,13,The electromagnetic-thermal dosimetry for the homogeneous human,http://dx.doi.org/10.1016/j.enganabound.2015.1 1.002
S0955799721002782,8,An efficient FEM-BEM solution for electromagnetic analysis of,https://doi.org/10.1016/j.enganabound.2021.09.026
S0955799722004532,14,Numerical simulation of repetitive transcranial magnetic stimulation by the,https://doi.org/10.1016/j.enganabound.2022.12.005
S095579972300382X,9,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.enganabound.2023.07.027
S0955799724001036,13,Motor magnetic field analysis using the edge-based smooth finite element,https://doi.org/10.1016/j.enganabound.2024.03.017
S0955799724002364,15,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.enganabound.2024.105761
S0955799724005708,15,Electromagnetic-thermal coupling simulation in high temperature,https://doi.org/10.1016/j.enganabound.2024.106097
S0955799725000414,12,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.enganabound.2025.106153
S0955799725002127,14,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.enganabound.2025.106324
S095579972500267X,14,A partitioned modeling approach using a physics-informed neural network,https://doi.org/10.1016/j.enganabound.2025.106379
S0955799725003704,16,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.enganabound.2025.106483
S0955799725004291,18,Physics-informed neural network with scaling relation for transmission,https://doi.org/10.1016/j.enganabound.2025.106542
S0955799725004369,20,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.enganabound.2025.106549
S0955799725004394,15,Precision-enhanced 3D magnetostatic modeling via edge-based smoothing,https://doi.org/10.1016/j.enganabound.2025.106552
S0955799726000950,12,Contents lists available at ScienceDirect,https://doi.org/10.1016/j.enganabound.2026.106725
